id,prodid,imageurl
101,101,//img.tatacliq.com/images/i8/437Wx649H/MP000000014781022_437Wx649H_202212021356581.jpeg
102,102,//img.tatacliq.com/images/i8/437Wx649H/MP000000014982815_437Wx649H_202210230146181.jpeg
103,103,//img.tatacliq.com/images/i8/437Wx649H/MP000000011953134_437Wx649H_202202020327041.jpeg
104,104,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559541_437Wx649H_202206240913381.jpeg
105,105,//img.tatacliq.com/images/i8/437Wx649H/MP000000013423904_437Wx649H_202206130604461.jpeg
106,106,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559625_437Wx649H_202206240918051.jpeg
107,107,//img.tatacliq.com/images/i8/437Wx649H/MP000000011792057_437Wx649H_202201161555071.jpeg
108,108,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559641_437Wx649H_202206240918431.jpeg
109,109,//img.tatacliq.com/images/i4/437Wx649H/MP000000007217193_437Wx649H_20200628170553.jpeg
110,110,//img.tatacliq.com/images/i8/437Wx649H/MP000000014982833_437Wx649H_202210230146431.jpeg
111,111,//img.tatacliq.com/images/i8/437Wx649H/MP000000014598490_437Wx649H_202209230228591.jpeg
112,112,//img.tatacliq.com/images/i9/437Wx649H/MP000000016207047_437Wx649H_202301251127461.jpeg
113,113,//img.tatacliq.com/images/i8/437Wx649H/MP000000013145632_437Wx649H_202205151848001.jpeg
114,114,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559624_437Wx649H_202206240918051.jpeg
115,115,//img.tatacliq.com/images/i8/437Wx649H/MP000000012261273_437Wx649H_202202242026071.jpeg
116,116,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559581_437Wx649H_202206240915501.jpeg
117,117,//img.tatacliq.com/images/i8/437Wx649H/MP000000014365301_437Wx649H_202209081451431.jpeg
118,118,//img.tatacliq.com/images/i8/437Wx649H/MP000000013254946_437Wx649H_202205261636101.jpeg
119,119,//img.tatacliq.com/images/i8/437Wx649H/MP000000014780988_437Wx649H_202212021351461.jpeg
120,120,//img.tatacliq.com/images/i8/437Wx649H/MP000000014993713_437Wx649H_202210231116541.jpeg
121,121,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995899_437Wx649H_202210231322051.jpeg
122,122,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559584_437Wx649H_202206240916091.jpeg
123,123,//img.tatacliq.com/images/i8/437Wx649H/MP000000012261274_437Wx649H_202202242026101.jpeg
124,124,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559519_437Wx649H_202206240912571.jpeg
125,125,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995270_437Wx649H_202210231251081.jpeg
126,126,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559515_437Wx649H_202206240912411.jpeg
127,127,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995691_437Wx649H_202210231311521.jpeg
128,128,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559742_437Wx649H_202206240923391.jpeg
129,129,//img.tatacliq.com/images/i8/437Wx649H/MP000000013582506_437Wx649H_202206260106411.jpeg
130,130,//img.tatacliq.com/images/i8/437Wx649H/MP000000013145595_437Wx649H_202205151846001.jpeg
131,131,//img.tatacliq.com/images/i8/437Wx649H/MP000000013145534_437Wx649H_202205151843041.jpeg
132,132,//img.tatacliq.com/images/i9/437Wx649H/MP000000016207029_437Wx649H_202301251127001.jpeg
133,133,//img.tatacliq.com/images/i8/437Wx649H/MP000000013145648_437Wx649H_202205151848591.jpeg
134,134,//img.tatacliq.com/images/i8/437Wx649H/MP000000013145613_437Wx649H_202205151847011.jpeg
135,135,//img.tatacliq.com/images/i8/437Wx649H/MP000000013145454_437Wx649H_202205151838581.jpeg
136,136,//img.tatacliq.com/images/i8/437Wx649H/MP000000011791838_437Wx649H_202201161544091.jpeg
137,137,//img.tatacliq.com/images/i8/437Wx649H/MP000000012064802_437Wx649H_202202091519011.jpeg
138,138,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995585_437Wx649H_202210231306161.jpeg
139,139,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995228_437Wx649H_202210231248541.jpeg
140,140,//img.tatacliq.com/images/i8/437Wx649H/MP000000014994934_437Wx649H_202210231229541.jpeg
141,141,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995557_437Wx649H_202210231305111.jpeg
142,142,//img.tatacliq.com/images/i8/437Wx649H/MP000000014538428_437Wx649H_202212021400571.jpeg
143,143,//img.tatacliq.com/images/i8/437Wx649H/MP000000014538427_437Wx649H_202212021359401.jpeg
144,144,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995394_437Wx649H_202210231257081.jpeg
145,145,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995405_437Wx649H_202210231257561.jpeg
146,146,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995375_437Wx649H_202210231256161.jpeg
147,147,//img.tatacliq.com/images/i8/437Wx649H/MP000000013145261_437Wx649H_202205151829021.jpeg
148,148,//img.tatacliq.com/images/i8/437Wx649H/MP000000013144681_437Wx649H_202205151759011.jpeg
149,149,//img.tatacliq.com/images/i4/437Wx649H/MP000000006201112_437Wx649H_20191224213908.jpeg
150,150,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995449_437Wx649H_202210231300121.jpeg
151,151,//img.tatacliq.com/images/i8/437Wx649H/MP000000013423816_437Wx649H_202206130600361.jpeg
152,152,//img.tatacliq.com/images/i8/437Wx649H/MP000000013423783_437Wx649H_202206130558461.jpeg
153,153,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995287_437Wx649H_202210231251551.jpeg
154,154,//img.tatacliq.com/images/i8/437Wx649H/MP000000013423777_437Wx649H_202206130558401.jpeg
155,155,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995464_437Wx649H_202210231300521.jpeg
156,156,//img.tatacliq.com/images/i8/437Wx649H/MP000000013144383_437Wx649H_202205151743571.jpeg
157,157,//img.tatacliq.com/images/i4/437Wx649H/MP000000007217234_437Wx649H_20200628170754.jpeg
158,158,//img.tatacliq.com/images/i8/437Wx649H/MP000000012806734_437Wx649H_202204131852571.jpeg
159,159,//img.tatacliq.com/images/i8/437Wx649H/MP000000012806735_437Wx649H_202204131852571.jpeg
160,160,//img.tatacliq.com/images/i7/437Wx649H/MP000000011592880_437Wx649H_202112282304391.jpeg
161,161,//img.tatacliq.com/images/i7/437Wx649H/MP000000011592902_437Wx649H_202112282305451.jpeg
162,162,//img.tatacliq.com/images/i8/437Wx649H/MP000000012806910_437Wx649H_202204131902321.jpeg
163,163,//img.tatacliq.com/images/i7/437Wx649H/MP000000011151260_437Wx649H_202111131649171.jpeg
164,164,//img.tatacliq.com/images/i8/437Wx649H/MP000000011151251_437Wx649H_202206270425121.jpeg
165,165,//img.tatacliq.com/images/i8/437Wx649H/MP000000014993899_437Wx649H_202210231127551.jpeg
166,166,//img.tatacliq.com/images/i8/437Wx649H/MP000000014993602_437Wx649H_202210231110191.jpeg
167,167,//img.tatacliq.com/images/i8/437Wx649H/MP000000014183100_437Wx649H_202208201728301.jpeg
168,168,//img.tatacliq.com/images/i7/437Wx649H/MP000000011151312_437Wx649H_202111131652061.jpeg
169,169,//img.tatacliq.com/images/i8/437Wx649H/MP000000014982916_437Wx649H_202210230150491.jpeg
170,170,//img.tatacliq.com/images/i8/437Wx649H/MP000000014982743_437Wx649H_202210230142001.jpeg
171,171,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995826_437Wx649H_202210231318171.jpeg
172,172,//img.tatacliq.com/images/i7/437Wx649H/MP000000008601788_437Wx649H_202101200056511.jpeg
173,173,//img.tatacliq.com/images/i7/437Wx649H/MP000000008601718_437Wx649H_202101200052511.jpeg
174,174,//img.tatacliq.com/images/i8/437Wx649H/MP000000013559569_437Wx649H_202206240915381.jpeg
175,175,//img.tatacliq.com/images/i8/437Wx649H/MP000000014532890_437Wx649H_202209181953191.jpeg
176,176,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995231_437Wx649H_202210231249071.jpeg
177,177,//img.tatacliq.com/images/i7/437Wx649H/MP000000010527736_437Wx649H_202109081116321.jpeg
178,178,//img.tatacliq.com/images/i8/437Wx649H/MP000000013145393_437Wx649H_202205151835551.jpeg
179,179,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995274_437Wx649H_202210231251161.jpeg
180,180,//img.tatacliq.com/images/i8/437Wx649H/MP000000014995268_437Wx649H_202210231251101.jpeg
181,1,//img.tatacliq.com/images/i9/437Wx649H/MP000000016026284_437Wx649H_202301111806142.jpeg
182,2,//img.tatacliq.com/images/i7/437Wx649H/MP000000011358188_437Wx649H_202112050212532.jpeg
183,3,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003889_437Wx649H_20171109132956.jpeg
184,4,//img.tatacliq.com/images/i8/437Wx649H/MP000000013509044_437Wx649H_202207021915462.jpeg
185,5,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755874_437Wx649H_202212190102092.jpeg
186,6,//img.tatacliq.com/images/i9/437Wx649H/MP000000016179203_437Wx649H_202301221923522.jpeg
187,7,//img.tatacliq.com/images/i8/437Wx649H/MP000000013059184_437Wx649H_202205071820222.jpeg
188,8,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142742_437Wx649H_202211040722362.jpeg
189,9,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522747_437Wx649H_202209180849592.jpeg
190,10,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309533_437Wx649H_202203271633032.jpeg
191,11,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309449_437Wx649H_202203241441112.jpeg
192,12,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003965_437Wx649H_20171109133809.jpeg
193,13,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309531_437Wx649H_202203271710382.jpeg
194,14,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309473_437Wx649H_202203241441222.jpeg
195,15,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142699_437Wx649H_202211040720312.jpeg
196,16,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142736_437Wx649H_202211040722342.jpeg
197,17,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003841_437Wx649H_20171109133149.jpeg
198,18,//img.tatacliq.com/images/i8/437Wx649H/MP000000013059144_437Wx649H_202205071816302.jpeg
199,19,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309471_437Wx649H_202203241441142.jpeg
200,20,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309435_437Wx649H_202203241440282.jpeg
201,21,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309509_437Wx649H_202203241444042.jpeg
202,22,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142877_437Wx649H_202211040729292.jpeg
203,23,//img.tatacliq.com/images/i7/437Wx649H/MP000000011194942_437Wx649H_202111180223282.jpeg
204,24,//img.tatacliq.com/images/i7/437Wx649H/MP000000011194977_437Wx649H_202111180224382.jpeg
205,25,//img.tatacliq.com/images/i8/437Wx649H/MP000000013744044_437Wx649H_202207092129062.jpeg
206,26,//img.tatacliq.com/images/i9/437Wx649H/MP000000016525431_437Wx649H_202302142208052.jpeg
207,27,//img.tatacliq.com/images/i7/437Wx649H/MP000000010747255_437Wx649H_202109282038502.jpeg
208,28,//img.tatacliq.com/images/i7/437Wx649H/MP000000011358143_437Wx649H_202112050211042.jpeg
209,29,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309550_437Wx649H_202203241454332.jpeg
210,30,//img.tatacliq.com/images/i8/437Wx649H/MP000000013059182_437Wx649H_202205071819312.jpeg
211,31,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003901_437Wx649H_20171109133127.jpeg
212,32,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142490_437Wx649H_202211040710392.jpeg
213,33,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142372_437Wx649H_202211040705352.jpeg
214,34,//img.tatacliq.com/images/i9/437Wx649H/MP000000016179328_437Wx649H_202301221930422.jpeg
